               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.018324,            0.011548,          0.00061364,             0.97617,             0.87195,             0.94684,             0.56198,            0.030242,             0.02622,           0.0019106,            0.004654,            0.004654,            0.004654
                  83,            0.017803,            0.011404,          0.00064674,             0.93663,             0.90523,              0.9562,             0.55084,            0.031598,            0.026131,           0.0012326,            0.004588,            0.004588,            0.004588
                  84,            0.018063,            0.011251,          0.00054486,             0.92156,             0.92375,             0.95177,             0.55025,            0.030132,            0.025764,           0.0010831,            0.004522,            0.004522,            0.004522
                  85,            0.017949,            0.010921,          0.00056385,             0.92232,             0.91871,             0.95236,              0.5495,            0.031101,            0.027681,           0.0024324,            0.004456,            0.004456,            0.004456
                  86,            0.017423,             0.01105,          0.00048445,             0.95164,             0.92429,             0.95635,             0.56332,            0.030667,            0.027065,           0.0012794,             0.00439,             0.00439,             0.00439
                  87,            0.017633,            0.011272,          0.00059152,             0.95583,              0.9074,             0.95234,              0.5641,            0.031719,            0.027478,           0.0021379,            0.004324,            0.004324,            0.004324
                  88,            0.017082,            0.011056,          0.00045123,             0.94321,             0.89597,             0.93448,              0.5391,            0.031262,             0.02807,          0.00090748,            0.004258,            0.004258,            0.004258
                  89,            0.016937,             0.01083,          0.00049335,             0.95763,             0.90522,              0.9371,             0.55095,            0.030389,            0.027595,           0.0011886,            0.004192,            0.004192,            0.004192
                  90,            0.016797,            0.010826,          0.00047327,             0.91563,             0.87745,              0.9188,             0.53972,            0.030097,             0.02729,           0.0027678,            0.004126,            0.004126,            0.004126
                  91,            0.016767,            0.010707,          0.00066938,              0.9324,             0.88617,             0.92444,              0.5378,            0.030143,            0.028111,           0.0026721,             0.00406,             0.00406,             0.00406
                  92,            0.016832,            0.011085,          0.00064667,             0.93945,             0.92429,             0.94897,             0.53859,            0.030675,            0.029086,            0.001947,            0.003994,            0.003994,            0.003994
                  93,            0.017037,            0.010808,          0.00061484,             0.93843,             0.88529,             0.93503,             0.55018,            0.030382,            0.028031,           0.0022887,            0.003928,            0.003928,            0.003928
                  94,            0.016674,            0.010687,          0.00048222,             0.94928,             0.89651,             0.93434,             0.55012,            0.030558,            0.027955,           0.0022437,            0.003862,            0.003862,            0.003862
                  95,            0.016215,            0.010441,          0.00052601,             0.94512,             0.88768,             0.94381,             0.54914,            0.029751,            0.028544,           0.0015318,            0.003796,            0.003796,            0.003796
                  96,            0.016031,            0.010699,          0.00048653,             0.95079,             0.89575,             0.94803,             0.54936,            0.029941,            0.029254,            0.002244,             0.00373,             0.00373,             0.00373
                  97,            0.015984,            0.010552,           0.0003924,             0.93559,             0.91565,             0.95615,             0.55034,            0.030616,            0.028724,           0.0013374,            0.003664,            0.003664,            0.003664
                  98,            0.016408,            0.010513,          0.00048866,               0.908,             0.91067,             0.94395,             0.56497,            0.030851,            0.027991,           0.0025617,            0.003598,            0.003598,            0.003598
                  99,             0.01569,            0.010239,          0.00049758,             0.95352,             0.85691,             0.93526,             0.55668,            0.031335,            0.028692,           0.0020933,            0.003532,            0.003532,            0.003532
                 100,            0.015937,            0.010267,          0.00047034,             0.93508,             0.85948,             0.92942,             0.54374,            0.031059,            0.030739,           0.0029935,            0.003466,            0.003466,            0.003466
                 101,            0.015544,            0.010489,          0.00034984,             0.88797,             0.93061,             0.94946,             0.54938,            0.030191,            0.031588,           0.0010495,              0.0034,              0.0034,              0.0034
                 102,            0.015487,            0.010555,           0.0005163,              0.9345,             0.81483,             0.91447,              0.5475,            0.030164,            0.029137,           0.0038221,            0.003334,            0.003334,            0.003334
                 103,            0.015321,            0.010156,          0.00054107,             0.96841,             0.83115,             0.93599,             0.55594,            0.029219,            0.030294,           0.0037052,            0.003268,            0.003268,            0.003268
                 104,            0.015606,             0.01051,          0.00055452,             0.94826,             0.84177,              0.9224,              0.5411,            0.030876,            0.029153,           0.0032645,            0.003202,            0.003202,            0.003202
                 105,             0.01491,            0.010314,          0.00044515,             0.87336,             0.89597,             0.92185,             0.54392,            0.030755,            0.028503,           0.0029526,            0.003136,            0.003136,            0.003136
                 106,            0.015139,            0.010138,          0.00035496,             0.91021,             0.91679,             0.94531,              0.5728,            0.030321,            0.029789,           0.0028044,             0.00307,             0.00307,             0.00307
                 107,            0.014826,            0.010051,          0.00044782,             0.90188,             0.88671,             0.92438,             0.56329,            0.030416,            0.029912,            0.002212,            0.003004,            0.003004,            0.003004
                 108,            0.014841,           0.0099734,           0.0003956,             0.92088,             0.86819,             0.92508,             0.54824,            0.030646,            0.030542,          0.00099155,            0.002938,            0.002938,            0.002938
                 109,            0.014914,            0.010202,          0.00050796,             0.89723,              0.8878,             0.94244,             0.53587,            0.030723,             0.03013,           0.0021306,            0.002872,            0.002872,            0.002872
                 110,            0.014833,            0.010267,           0.0004023,             0.90645,             0.90277,             0.94435,             0.55904,            0.030948,            0.028978,           0.0016821,            0.002806,            0.002806,            0.002806
                 111,            0.014453,           0.0098446,          0.00039044,             0.91402,             0.89308,             0.93716,             0.55163,            0.030655,            0.029741,           0.0016721,             0.00274,             0.00274,             0.00274
                 112,            0.014433,            0.010038,          0.00050037,             0.90409,              0.8666,             0.92271,              0.5436,            0.029795,            0.030183,           0.0013441,            0.002674,            0.002674,            0.002674
                 113,            0.014294,           0.0097588,          0.00053418,             0.88469,             0.86991,             0.91642,             0.54046,            0.029979,            0.030343,           0.0019332,            0.002608,            0.002608,            0.002608
                 114,            0.014304,           0.0098819,           0.0003847,             0.97837,              0.8747,             0.94802,             0.55747,            0.030285,            0.030248,           0.0017408,            0.002542,            0.002542,            0.002542
                 115,            0.013875,           0.0096242,          0.00033425,             0.89207,             0.91335,             0.94071,             0.55622,            0.029625,            0.029396,           0.0021334,            0.002476,            0.002476,            0.002476
                 116,            0.013824,           0.0094884,          0.00048359,             0.89208,             0.86819,              0.9383,             0.54708,            0.029931,            0.029956,           0.0026893,             0.00241,             0.00241,             0.00241
                 117,            0.013762,           0.0098049,          0.00045251,             0.91337,              0.8784,             0.93743,             0.55252,            0.029629,            0.027696,           0.0029645,            0.002344,            0.002344,            0.002344
                 118,            0.013811,           0.0093669,           0.0004706,             0.90501,             0.88671,             0.93775,             0.55908,            0.030299,            0.028641,           0.0013698,            0.002278,            0.002278,            0.002278
                 119,            0.013421,           0.0097913,          0.00045978,             0.93677,             0.87745,             0.93924,             0.55943,            0.029876,              0.0304,           0.0014402,            0.002212,            0.002212,            0.002212
                 120,            0.013709,           0.0097027,          0.00044947,              0.9429,             0.87298,              0.9373,             0.55477,            0.029715,            0.030227,           0.0014351,            0.002146,            0.002146,            0.002146
                 121,            0.013464,           0.0095511,          0.00037551,             0.92828,             0.86563,             0.93362,             0.55566,            0.029959,            0.030116,           0.0011794,             0.00208,             0.00208,             0.00208
                 122,            0.013496,           0.0095169,          0.00044585,              0.9117,             0.88073,             0.94733,             0.55691,            0.029582,            0.030804,           0.0013154,            0.002014,            0.002014,            0.002014
                 123,            0.013318,           0.0093171,          0.00033329,             0.95948,             0.83115,             0.94234,             0.54974,            0.029436,            0.030225,           0.0016442,            0.001948,            0.001948,            0.001948
                 124,              0.0133,           0.0092482,          0.00037448,             0.92366,             0.89386,             0.95569,             0.54822,            0.029572,            0.031495,           0.0014904,            0.001882,            0.001882,            0.001882
                 125,            0.013161,            0.009522,          0.00046947,             0.88509,             0.89511,             0.93447,             0.55403,            0.030025,            0.030457,           0.0013274,            0.001816,            0.001816,            0.001816
                 126,            0.012858,           0.0093113,          0.00024533,             0.87921,             0.88352,              0.9239,             0.55119,            0.029543,            0.032019,           0.0010884,             0.00175,             0.00175,             0.00175
                 127,            0.012633,           0.0091668,          0.00025339,             0.84511,             0.91449,             0.93601,             0.55414,            0.029233,            0.031616,           0.0013634,            0.001684,            0.001684,            0.001684
                 128,            0.012435,           0.0092976,           0.0002185,             0.88003,             0.90055,             0.94112,             0.55593,            0.029086,            0.031488,            0.001304,            0.001618,            0.001618,            0.001618
                 129,            0.012481,           0.0090313,          0.00030659,             0.90486,             0.90421,             0.95466,             0.55619,            0.029079,             0.03161,           0.0019566,            0.001552,            0.001552,            0.001552
                 130,            0.012519,           0.0088791,          0.00034869,             0.92318,             0.90577,             0.95628,             0.56043,            0.028857,            0.031228,           0.0017517,            0.001486,            0.001486,            0.001486
                 131,            0.012473,           0.0091421,          0.00030759,             0.91602,             0.89597,             0.94606,             0.55963,            0.029522,            0.031725,           0.0020183,             0.00142,             0.00142,             0.00142
                 132,            0.012476,           0.0088687,          0.00031315,             0.89817,             0.88434,             0.93537,             0.55298,            0.030391,            0.031962,           0.0017745,            0.001354,            0.001354,            0.001354
                 133,            0.012251,           0.0088517,          0.00032135,             0.91356,             0.88671,             0.93233,             0.55641,            0.029905,            0.031494,            0.001687,            0.001288,            0.001288,            0.001288
                 134,            0.012093,           0.0090002,          0.00024162,             0.89722,             0.91503,             0.94919,             0.54701,            0.030472,            0.032372,           0.0011202,            0.001222,            0.001222,            0.001222
                 135,            0.012271,           0.0090385,          0.00032767,             0.93696,             0.87319,              0.9477,             0.55935,            0.030105,            0.031056,           0.0019545,            0.001156,            0.001156,            0.001156
                 136,            0.012083,           0.0089829,          0.00031123,             0.91169,             0.88725,             0.94333,              0.5648,            0.029042,             0.03167,           0.0017695,             0.00109,             0.00109,             0.00109
                 137,            0.011944,           0.0086862,          0.00041875,             0.90254,             0.90577,             0.95414,             0.56138,             0.02913,            0.032363,           0.0015521,            0.001024,            0.001024,            0.001024
                 138,            0.012001,           0.0087005,          0.00024161,             0.98314,             0.81898,             0.93821,             0.55208,            0.030011,            0.032222,            0.001731,            0.000958,            0.000958,            0.000958
                 139,            0.011796,           0.0086852,          0.00025242,             0.91695,             0.88725,              0.9536,             0.55292,            0.029687,             0.03182,           0.0020219,            0.000892,            0.000892,            0.000892
                 140,            0.011463,            0.008795,          0.00015648,             0.99303,             0.82632,             0.94241,             0.55284,            0.029635,            0.031853,           0.0015523,            0.000826,            0.000826,            0.000826
                 141,            0.011537,           0.0086162,          0.00022806,             0.89334,             0.91162,             0.94817,             0.55043,            0.029503,            0.031788,           0.0018957,             0.00076,             0.00076,             0.00076
                 142,            0.011633,           0.0085072,          0.00021561,             0.88949,             0.91503,             0.94964,             0.55905,              0.0296,            0.032568,           0.0014826,            0.000694,            0.000694,            0.000694
                 143,            0.011485,            0.008533,          0.00021751,             0.89169,             0.92429,             0.95181,             0.56466,            0.029532,            0.032536,           0.0017412,            0.000628,            0.000628,            0.000628
                 144,            0.011495,           0.0084627,          0.00022518,             0.89181,             0.92429,             0.95133,             0.55942,             0.03001,            0.032228,           0.0012994,            0.000562,            0.000562,            0.000562
                 145,            0.011356,             0.00855,          0.00018887,             0.89148,             0.91491,             0.95114,              0.5667,            0.029671,            0.032177,           0.0013108,            0.000496,            0.000496,            0.000496
                 146,            0.011457,           0.0084916,          0.00030887,             0.89906,             0.89651,             0.95147,               0.565,            0.029451,            0.032244,             0.00154,             0.00043,             0.00043,             0.00043
                 147,            0.011436,           0.0085207,          0.00019307,             0.89375,             0.90804,             0.95102,             0.55792,            0.029619,             0.03257,           0.0014826,            0.000364,            0.000364,            0.000364
                 148,             0.01126,           0.0084551,          0.00027447,             0.88376,             0.90881,              0.9438,             0.55476,            0.029611,            0.032164,           0.0013606,            0.000298,            0.000298,            0.000298
                 149,            0.011295,           0.0083732,          0.00024828,             0.96899,             0.83115,             0.94415,             0.55748,            0.029597,            0.032201,           0.0013618,            0.000232,            0.000232,            0.000232
